"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
-2.131541667E-3	-4.020938416E0	2.919678497E0	9.052425385E0
9.979248333E-1	6.189478912E0	3.106789398E0	1.505673935E1
2.042759583E0	-1.316168015E1	3.165018311E0	5.641917572E0
3.037838708E0	6.317313080E0	3.351380768E0	3.667223969E0
4.032918833E0	1.107696533E-2	-4.760101318E-2	-9.827214203E0
5.028004750E0	1.826202393E-2	-4.969665527E-2	-9.824669495E0
6.023083083E0	1.751358032E-2	-4.984634399E-2	-9.830207977E0
7.018165333E0	2.365081787E-2	-5.673202515E-2	-9.832303619E0
8.416254583E0	1.272354126E-2	-4.924758911E-2	-9.825717316E0
9.416313458E0	1.107696533E-2	-5.224136353E-2	-9.825118561E0