"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
9.892178333E-1	3.006767750E0	-1.073234558E0	3.120397776E-2
1.984298583E0	-9.852639437E-1	-1.001825333E0	-9.500337839E-1
2.979377708E0	3.758973628E-2	-2.257580280E0	1.551498532E0
3.974457833E0	-9.815176018E-4	-5.793701857E-4	8.880039677E-4
4.969543750E0	-2.759709023E-4	-1.788575668E-3	1.879471820E-3
5.964622083E0	-4.422767088E-4	1.782116015E-4	5.214707926E-6
6.959704333E0	1.511932351E-4	1.010157750E-3	6.081608590E-4
7.954785583E0	9.071924724E-4	-2.401517704E-4	5.736234598E-4
8.949868458E0	7.719737478E-4	-7.389015518E-4	-9.037595009E-4
9.944949458E0	9.306082502E-4	8.582717273E-4	-5.759219639E-4